Patch;Eclairage;L;a;b
Patch 15;RB1;80.88002151771107;8.327210369633631;-3.448093945295261
Patch 15;RB2;79.34501454539816;12.582596620062725;-5.032399610745086
Patch 15;V1;66.41450466996707;36.90562814750087;-15.835397380614857
Patch 15;V2;75.17497602728638;20.3415704491281;-8.56086870130821
Patch 16;B1;47.79457033039529;-73.56534725656755;28.624569626215056
Patch 16;B2;55.23422020170972;-86.83704341769283;34.13155183751434
Patch 16;C;70.19351970293201;-38.526758702399746;28.626619724393198
Patch 16;DR1;49.02262101243153;-0.3828526745159322;30.30089712638182
Patch 16;DR2;49.42118277792875;-3.217317367386896;27.50069181206969
Patch 16;FR1;50.41738484356868;-7.008593522423223;26.411962327090798
Patch 16;FR2;57.69031148413437;-28.922886004591362;37.76314130380247
Patch 16;FR3;58.2155184285011;-30.495465950389324;39.68327450094341
Patch 16;G1;73.74721602226546;-23.006722553084337;12.132899621189463
Patch 16;G2;72.23512487662406;-24.28183403175932;4.412493630378123
Patch 16;L;63.151147301790914;-38.58749339853712;0.019465567246768067
Patch 16;OR;46.509647221986;-0.7925420337684952;10.293105372725053
Patch 16;PC_A;52.08155222501931;-11.688865967727946;18.409877957063912
Patch 16;R1;46.53493989170471;-0.29460051991681;17.87442409616229
Patch 16;R2;47.50237541438113;0.06650464175389503;23.95405318171018
Patch 16;RB1;33.153815326370626;-25.13015400058577;10.249560463297602
Patch 16;RB2;36.22785864601666;-35.89609096142787;14.410061418175202
Patch 16;V1;53.04531664746875;-107.55161939456781;44.82961232870465
Patch 16;V2;41.77669262913461;-62.39567847011099;25.62594117645406
Patch 17;B1;52.08488586690426;-71.50681739020916;27.39505948151969
Patch 17;B2;59.419739404789325;-85.18094730212897;32.52117801768938
Patch 17;C;73.49882802319927;-43.39526257676696;26.050458690279356
Patch 17;DR1;47.954386018685526;-0.47259339307775816;20.66778367530371
Patch 17;DR2;48.46682332009432;-3.7551291468152503;18.063284611979114
Patch 17;FR1;49.63855088906814;-8.191297001187426;17.388032983228918
Patch 17;FR2;57.88016535865425;-32.93444505959309;30.692561876819834
Patch 17;FR3;58.47038488062523;-34.456543824206484;32.702021118344874
Patch 17;G1;75.9988781869384;-27.65470089069444;9.452470749607066
Patch 17;G2;73.85003884039122;-27.727381777985393;1.726684715050153
Patch 17;L;63.88633524710443;-43.22004453375228;-4.478629608247409
Patch 17;OR;45.41746099940438;-0.8516918374310567;5.844447645879702
Patch 17;PC_A;51.47106140017972;-12.821318709257955;12.659879903399363
Patch 17;R1;45.42805200704727;-0.3287427568809953;11.370749022187487
Patch 17;R2;46.40208417848178;0.039459217771931065;15.291796725065732
Patch 17;RB1;37.17671647966512;-22.525720470382428;9.111168612822807
Patch 17;RB2;40.473447935469196;-33.88429911772353;13.454099500572426
Patch 17;V1;55.21593565835353;-98.731781929213;40.77179423283608
Patch 17;V2;44.52990960480906;-54.95011328090907;22.446326975936092
Patch 18;B1;63.26762073018541;-50.543227764022205;18.762479722393287
Patch 18;B2;68.86176649244996;-62.04853189314618;22.33676476277724
Patch 18;C;78.37248358511498;-43.59294150827758;16.08500752449875
Patch 18;DR1;48.28692692947409;-0.49670818949748563;-4.991092936426833
Patch 18;DR2;48.87387582870859;-3.996542222977739;-6.5667675812090875
Patch 18;FR1;50.167516390751715;-8.785108822025489;-6.061268016296695
Patch 18;FR2;58.93538727841468;-33.93940880852276;8.865545806084874
Patch 18;FR3;59.552858451525296;-35.08726964877729;10.739473368590978
Patch 18;G1;78.31241756616579;-32.246673557669524;2.505148489606479
Patch 18;G2;75.29522910798082;-30.3463995493109;-3.986058274549631
Patch 18;L;64.93095357670545;-45.6697043018312;-13.265615974330935
Patch 18;OR;45.68901819810688;-0.8613049328922151;-7.39192645571447
Patch 18;PC_A;51.82138284351208;-12.98463509106973;-4.391164489996546
Patch 18;R1;45.6991660112924;-0.33354396179013923;-7.529283043817103
Patch 18;R2;46.69506220651357;0.035253029559034754;-7.982089329183362
Patch 18;RB1;51.3915109479245;-12.908593308891547;5.096212522835453
Patch 18;RB2;54.25341189130526;-22.092153566128538;8.544587075007005
Patch 18;V1;61.1479917754977;-61.90749921750044;24.997977446466702
Patch 18;V2;54.319581007976495;-29.208184565231722;11.750275912340747
Patch 19;B1;78.19422300527818;-19.22596700869761;6.706613450942256
Patch 19;B2;80.47054746122544;-24.50053302803218;7.88262011122256
Patch 19;C;83.12082533328888;-32.06291649396359;3.2016018765189003
Patch 19;DR1;49.56000320437049;-0.46129201431643896;-40.414801573035966
Patch 19;DR2;50.22367112260778;-3.998841143608045;-40.309578168153394
Patch 19;FR1;51.61968684618158;-8.875974669463993;-38.3098461380466
Patch 19;FR2;60.78445862008485;-31.957725862941434;-22.451448288214305
Patch 19;FR3;61.427487117673394;-32.157362637773026;-20.69216030532852
Patch 19;G1;80.59164972207414;-33.76838665900811;-5.246738000992557
Patch 19;G2;77.00946436531372;-31.298006268981602;-10.140861054844574
Patch 19;L;66.49857284331664;-46.52748150692704;-24.259137308562973
Patch 19;OR;46.85763007346796;-0.8702177354946716;-29.231735590373265
Patch 19;PC_A;53.06822367211515;-12.984306767225174;-31.977780140926114
Patch 19;R1;46.867844721786085;-0.33113433944798043;-36.51566017273924
Patch 19;R2;47.89987229400703;0.0495411922908362;-41.25292281255983
Patch 19;RB1;72.74086608361252;-3.3190992650099505;1.1667540742480886
Patch 19;RB2;74.2658767879327;-7.357375123725252;2.6419258478221908
Patch 19;V1;71.08974800726001;-18.110075221995427;6.689498853260578
Patch 19;V2;70.84386556725049;-4.0808623142937765;1.3975514192301919
Patch 20;B1;87.53570401254859;7.249726733182527;-3.2433570500009834
Patch 20;B2;86.48635613576282;8.841543167401934;-4.453879396875782
Patch 20;C;82.49542250673191;-15.125024825752787;-8.634733526528503
Patch 20;DR1;49.78302365029589;-0.28701657380120205;-67.25139409717728
Patch 20;DR2;50.36988196574124;-3.2279065735097423;-65.88883587806298
Patch 20;FR1;51.648659614397474;-7.32640781590832;-63.07508233970922
Patch 20;FR2;59.98638445435681;-24.034477194864955;-48.74189467519183
Patch 20;FR3;60.53963773060609;-22.96641665812271;-47.36078157514883
Patch 20;G1;77.95844568778088;-31.5818113577363;-12.292651179662517
Patch 20;G2;74.17299492102937;-29.115818081295597;-15.479797248350625
Patch 20;L;64.53859139035659;-41.73036840202343;-33.846903768969725
Patch 20;OR;47.00639644110605;-0.7601664102756533;-47.3668410931803
Patch 20;PC_A;52.403951766819304;-10.988721346497975;-55.612707424236675
Patch 20;R1;47.048877391576625;-0.2628161131648654;-59.60300073224896
Patch 20;R2;48.109440440675456;0.10475637591927933;-66.82650905772063
Patch 20;RB1;88.52869631782904;3.528800875871485;-1.593106227446972
Patch 20;RB2;88.55568242293627;4.378187907808639;-1.9523099807699618
Patch 20;V1;77.81486532947609;15.20810646650922;-7.082462329427708
Patch 20;V2;83.49185146408763;12.045137780716807;-5.221524905703467
Patch 21;B1;54.57507260010446;-72.94998133663499;28.097508735635824
Patch 21;B2;62.088700254905774;-86.56294601691195;33.38213342798546
Patch 21;C;76.7045388438911;-40.69410147436625;27.324398028482477
Patch 21;DR1;54.70765808836758;-0.3883653780643037;28.718229762825565
Patch 21;DR2;55.099229481647654;-3.2274149286325993;25.85830539206381
Patch 21;FR1;56.08475034249874;-7.052892066055138;24.82249105526151
Patch 21;FR2;63.418765875547564;-29.235953246055878;36.53379113934925
Patch 21;FR3;63.975232070481226;-30.864344206237405;38.50854271569435
Patch 21;G1;79.75047579119415;-23.90599063637594;11.025773861336653
Patch 21;G2;78.0784139605986;-24.50572053705985;3.609881999409681
Patch 21;L;68.96540684693504;-38.74956686606884;-0.8109869543346582
Patch 21;OR;52.26182024396647;-0.801347999952573;9.878588373212027
Patch 21;PC_A;57.89849028971099;-11.79876293117088;18.210693119468345
Patch 21;R1;52.272455250495284;-0.3029256142088044;17.1683507274772
Patch 21;R2;53.215743982994724;0.06096801987143241;22.797413410887167
Patch 21;RB1;39.49880007694027;-23.97283888434634;9.739511456130124
